192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
192.168.1.2 -> 192.168.1.1 | ALLOWED
